Start Time (s),End Time (s),Text,Speaker,file_name,flow_label
0.0,2.16, 9-1-1 location emergency.,Speaker 0,call_247.mp3,Call Introduction
5.84,22.08, I'm at Graceville Deli. I specifically asked for little turkey and little ham and a lot of cheese and a lot of mayonnaise.,Speaker 1,call_247.mp3,Description
22.08,25.56, And they're giving me a hard time with them and they should just stop by and just...,Speaker 1,call_247.mp3,Description
27.219999999999988,28.22, Who is this?,Speaker 1,call_247.mp3,Description
28.54,32.84, This is Rob McGlaren. I was just wondering if you could just...,Speaker 1,call_247.mp3,Description
32.84,37.78, You're calling 9-1-1 because you don't like the way that they're making your sandwich?,Speaker 0,call_247.mp3,Description
38.22,38.62, Exactly.,Speaker 0,call_247.mp3,Description
38.82,40.1, So then don't buy it.,Speaker 0,call_247.mp3,Description
41.42,41.82, Okay.,Speaker 0,call_247.mp3,Description
42.44,47.2, Just walk away and don't buy it if they don't want to make it the way you want it.,Speaker 0,call_247.mp3,Description
47.32,51.1, She's telling me I can't...she won't make it for me again and it's just because of that.,Speaker 1,call_247.mp3,Description
51.18,52.04," You know, so...",Speaker 1,call_247.mp3,Description
52.08,54.56," I mean, I just want to solve this the right way, you know?",Speaker 1,call_247.mp3,Description
55.06,56.34, She's giving me a hard time.,Speaker 0,call_247.mp3,Description
56.6,58.1," Her sister made it, but she left.",Speaker 0,call_247.mp3,Description
58.620000000000005,59.92, They're playing games with me.,Speaker 0,call_247.mp3,Description
63.42,65.16, So I was just wondering if you can come by.,Speaker 0,call_247.mp3,Description
65.38,66.36, Do they...do they...,Speaker 0,call_247.mp3,Description
67.84,69.94, Do they work there or...,Speaker 0,call_247.mp3,Description
69.94,70.66," Yes, they work here.",Speaker 0,call_247.mp3,Description
71.34,71.78, Okay.,Speaker 0,call_247.mp3,Description
72.92,73.88, What's your last name?,Speaker 1,call_247.mp3,Description
74.14,74.58, McGlaren.,Speaker 1,call_247.mp3,Description
74.74,77.52," Capital M-C, capital L-E-N-N-O-N.",Speaker 1,call_247.mp3,Call Introduction
78.54,79.4, L-E...,Speaker 0,call_247.mp3,Description
79.4,80.32, N-N-O-N.,Speaker 0,call_247.mp3,Description
80.62,81.8, N-N-O-N.,Speaker 1,call_247.mp3,Description
82.08,83.0, And you said your first name is?,Speaker 1,call_247.mp3,Description
83.46,83.86, Rather.,Speaker 0,call_247.mp3,Description
83.98,85.72, Capital R-O-T-H-E-R.,Speaker 0,call_247.mp3,Description
89.9,93.54, I just want to resolve and I want to be able to come back here and get my...the regular,Speaker 1,call_247.mp3,Description
93.54,95.08, sandwiches that I...that I asked for.,Speaker 1,call_247.mp3,Description
95.76,98.38, Maybe...and I already told her...already asked her.,Speaker 1,call_247.mp3,Description
98.46,104.52, I said maybe I have to come down before they make it and get my sandwiches that way because,Speaker 1,call_247.mp3,Description
105.14,107.42, it seems like they're not listening to me.,Speaker 1,call_247.mp3,Description
107.48,110.96, They just put...they put down anything they want and then they expect me to pay for it.,Speaker 1,call_247.mp3,Description
111.66,112.24, You know?,Speaker 0,call_247.mp3,Description
112.84,113.22, So...,Speaker 0,call_247.mp3,Description
120.58,120.96, Okay.,Speaker 0,call_247.mp3,Description
121.3,126.4," And if...in the future, just don't...you can stay there or stay outside.",Speaker 0,call_247.mp3,Description
126.54,127.34, I'll send somebody.,Speaker 0,call_247.mp3,Resolution
127.64,128.02, Okay.,Speaker 0,call_247.mp3,Call Deposition
128.12,128.26, Thank you.,Speaker 0,call_247.mp3,Call Deposition
128.28,130.32," In the future, just don't buy the sandwich.",Speaker 0,call_247.mp3,Call Deposition
130.98000000000002,131.68," Yes, ma'am.",Speaker 0,call_247.mp3,Call Deposition
131.76,132.1, Okay?,Speaker 0,call_247.mp3,Call Deposition
132.64,134.04, I'll look at it before I buy it.,Speaker 0,call_247.mp3,Description
134.14,134.48, All right.,Speaker 0,call_247.mp3,Call Deposition
134.78,135.6," Thank you, ma'am.",Unknown,call_247.mp3,Call Deposition
135.6,135.84, Yep.,Unknown,call_247.mp3,Description
136.16,136.54, Bye.,Unknown,call_247.mp3,Call Deposition
136.62,136.7, Bye.,Unknown,call_247.mp3,Call Deposition
136.72,136.98, Bye.,Unknown,call_247.mp3,Call Deposition
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.98,136.98,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
136.96,136.96,,Unknown,call_247.mp3,No Voice Detected
